event,variant,n_stints,rate_mae,rate_bias,rate_cov90,rate_width90,spearman,mae_lap,lap_cov90
australia-2026,sealed,23,0.43440460140864834,-0.41744528427527533,0.9130434782608695,1.7670979974891865,-0.08201581027667984,4.524472802045878,0.7563218390804598
australia-2026,practice_only,23,0.05440132332711562,0.04216717063097443,0.8260869565217391,0.20262020793289826,-0.1314229249011858,0.4243501156846665,0.9747126436781609
australia-2026,practice_no_regime,23,0.05235484385533641,0.03800051869121966,0.8260869565217391,0.21068901356671887,-0.1314229249011858,0.4077359535752577,0.9793103448275862
australia-2026,history_only,19,0.05209478145017923,-0.004081680289771802,0.7368421052631579,0.1586290120839764,0.020576435030782225,0.4060899535447939,0.9844155844155844
australia-2026,mixedlm_x_regime,23,0.04288304096912434,0.015827713295572695,0.8695652173913043,0.1866545578918868,0.23469511274174495,0.376947133443042,0.9816091954022989
australia-2026,season_loo,23,0.04898623131211665,0.003354012243220654,0.8260869565217391,0.1866545578918868,-0.15616921537403797,0.3893746948690772,0.9793103448275862
australia-2026,zero,23,0.05888421875697923,0.0486581143241114,0.6956521739130435,0.1866545578918868,,0.46139840848364494,0.9701149425287356
australia-2026,oracle_race,23,0.044712030413067476,0.015407058596064874,0.8695652173913043,0.1866545578918868,0.348289548972824,0.37909985170384364,0.9793103448275862
japan-2026,sealed,19,0.023756889692429034,-0.02110232664709729,1.0,0.2953167810472922,0.2834576841549152,0.2726720365541297,1.0
japan-2026,practice_only,19,0.019520842812053168,0.0022342596234480373,1.0,0.26964354461150086,-0.04826678832359237,0.25219389930769004,0.9970588235294118
japan-2026,practice_no_regime,19,0.029023945000973418,-0.02590588375269166,1.0,0.2821201715567019,-0.03422554081127459,0.283232703354106,1.0
japan-2026,history_only,19,0.04937532063761627,-0.04937532063761627,0.9473684210526315,0.21189392787854017,0.3736327892522231,0.3504482162628786,0.9970588235294118
japan-2026,mixedlm_x_regime,19,0.023892012020064347,0.008637127135151057,1.0,0.21189392787854017,0.49766917832626695,0.29277980821896404,0.9970588235294118
japan-2026,season_loo,19,0.01888292805123316,-0.009020802341767682,1.0,0.21189392787854017,0.3801903204399333,0.2574029302768882,0.9970588235294118
japan-2026,zero,19,0.03634520664110604,0.03634520664110604,1.0,0.21189392787854017,,0.30041556889593607,0.9882352941176471
japan-2026,oracle_race,19,0.017307472130541207,-0.0024376868555970226,1.0,0.21189392787854017,0.43937088918765876,0.26765953966026174,0.9970588235294118
barcelona-2026,sealed,31,0.04099488039009148,0.012987445917689236,1.0,0.334871506645166,-0.018145161290322582,0.38191629946066386,0.9863813229571985
barcelona-2026,practice_only,31,0.0412896128868867,0.002529503360898205,1.0,0.34956687645455103,-0.018145161290322582,0.38598327183590725,0.9863813229571985
barcelona-2026,practice_no_regime,31,0.08834179403055398,-0.08390452966207121,0.7741935483870968,0.27306903402096566,-0.018145161290322582,0.5641673148589235,0.9610894941634242
barcelona-2026,history_only,31,0.051110212540340726,0.03871269136407836,0.8709677419354839,0.18738694426197638,0.0952522404984005,0.40238574100483565,0.9727626459143969
barcelona-2026,mixedlm_x_regime,31,0.06399186051721621,-0.04875883025725204,0.7096774193548387,0.18738694426197638,-0.2513971068303803,0.47573124190115584,0.9669260700389105
barcelona-2026,season_loo,31,0.08700547867884882,0.08570187047958182,0.5806451612903226,0.18738694426197638,0.07989879836735102,0.520530524630786,0.9591439688715954
barcelona-2026,zero,31,0.11869086431624022,0.11869086431624022,0.2903225806451613,0.18738694426197638,,0.6353395440098834,0.9396887159533074
barcelona-2026,oracle_race,31,0.04032492840535775,-0.0027055680968017786,0.9032258064516129,0.18738694426197636,0.18421390673379456,0.3826518574500057,0.9766536964980544
austria-2026,sealed,40,0.0319916451452865,-0.010236572990210364,1.0,0.3056787012137711,0.0727954971857411,0.34582552814098205,0.988155668358714
austria-2026,practice_only,40,0.030197578162773554,0.0035026251632570516,1.0,0.28532896432275084,0.04934333958724203,0.3392896090874452,0.9813874788494078
austria-2026,practice_no_regime,40,0.05495006433748081,-0.05043266288227964,0.9,0.2554203502030452,0.04934333958724203,0.42675752458037597,0.9746192893401016
