### bench_accuracy 2026-09-13 02:09:29.857881
bench_accuracy exit 0  [82s]
### bench_strategy 2026-09-13 02:10:52.749420
bench_strategy exit 0  [8s]
### bench_ablation 2026-09-13 02:11:00.809935
bench_ablation exit 0  [603s]
### bench_outlook 2026-09-13 02:21:04.287573
bench_outlook exit 0  [62s]
### bench_live 2026-09-13 02:22:07.126195
bench_live exit 0  [74s]
### bench_stability 2026-09-13 02:23:21.514757
bench_stability exit 0  [130s]
### bench_speed 2026-09-13 02:25:32.053515
bench_speed exit 0  [211s]
### bench_apex 2026-09-13 02:29:03.636938
bench_apex exit 0  [187s]
### pytest 2026-09-13 02:32:11.392941
pytest exit 0  [56s]
### bench_compare 2026-09-13 02:33:07.852461
bench_compare exit 0  [2s]
### done 2026-09-13 02:33:10.400722  [total 1420s]
