event,variant,n_stints,rate_mae,rate_bias,rate_cov90,rate_cov95,rate_width90,rate_width95,spearman,mae_lap,lap_cov90
australia-2026,sealed,23,0.048938119870260734,0.011424898991185501,0.782608695652174,0.782608695652174,0.14590951731127122,0.17776500803122133,-0.1305699717401196,0.39177977868709024,0.9011494252873563
australia-2026,sealed_v3,23,0.048938119870260734,0.011424898991185501,0.782608695652174,0.782608695652174,0.14590951731127122,0.17776500803122133,-0.1305699717401196,0.39177977868709024,0.9011494252873563
australia-2026,practice_only,23,0.055113106927091045,0.041217124593299646,0.4782608695652174,0.7391304347826086,0.11712504979875929,0.1403049873000088,-0.14266271467350794,0.44232478848590245,0.8459770114942529
australia-2026,practice_no_regime,23,0.05419962700402046,0.037998095185389984,0.6521739130434783,0.782608695652174,0.12441436238496964,0.14885075364613326,-0.12051269628757233,0.4350035994056395,0.8574712643678161
australia-2026,sealed_geomean,23,0.04952707774644323,0.014925052738335024,0.782608695652174,0.782608695652174,0.1412125463513794,0.17180054793952176,-0.04574701456056751,0.3937124956566531,0.896551724137931
australia-2026,regime_v2_temperature,23,0.048926073242024935,0.011897132561047939,0.782608695652174,0.782608695652174,0.14860985121685685,0.18042567055553005,-0.08105864910186951,0.391320478996485,0.9011494252873563
australia-2026,regime_v3_pooled,23,0.04893811987026071,0.011424898991185392,0.782608695652174,0.782608695652174,0.14590951731127108,0.17776500803122133,-0.11970612308140285,0.39177977868709024,0.9011494252873563
australia-2026,regime_v3_circuit,23,0.04893811987026071,0.011424898991185392,0.782608695652174,0.782608695652174,0.14590951731127108,0.17776500803122133,-0.11970612308140285,0.39177977868709024,0.9011494252873563
australia-2026,regime_oracle_temperature,23,0.04895749803621838,0.011908856262058582,0.782608695652174,0.782608695652174,0.14626207080866666,0.17792229302621956,-0.13704596415413817,0.39153867140999726,0.8988505747126436
australia-2026,sealed_perfect_t,23,0.04895749803621838,0.011908856262058582,0.782608695652174,0.782608695652174,0.14626207080866666,0.17792229302621956,-0.13704596415413817,0.39153867140999726,0.8988505747126436
australia-2026,sealed_driver,23,0.04897244533989799,0.008130125549876835,0.782608695652174,0.8260869565217391,0.1507209557060207,0.1838512855878996,-0.09933284217257345,0.39177977868709024,0.9011494252873563
australia-2026,sealed_driver_hist,23,0.04897244533989799,0.008130125549876835,0.782608695652174,0.8260869565217391,0.1507209557060207,0.1838512855878996,-0.09933284217257345,0.39177977868709024,0.9011494252873563
australia-2026,sealed_driver_practice_dev,23,0.05298915783453305,0.014920017770101218,0.6956521739130435,0.782608695652174,0.1394442628690135,0.16967731259274552,-0.4175932917205202,0.39177977868709024,0.9011494252873563
australia-2026,sealed_driver_team_pooled,23,0.0529955034858789,0.014937720034375618,0.6956521739130435,0.782608695652174,0.13901937351675678,0.16916142302223594,-0.3928836294885368,0.39177977868709024,0.9011494252873563
australia-2026,history_only,19,0.05270488361435326,-0.005934259672620621,0.47368421052631576,0.5789473684210527,0.08153922437166393,0.09715311840028042,-0.11754640116243134,0.4107108956576162,0.8727272727272727
australia-2026,mixedlm_x_regime,23,0.041740761230524545,0.0102671686123786,0.6086956521739131,0.6956521739130435,0.095945046092093,0.11431750172674911,0.3244092016798064,0.37902378929089736,0.8896551724137931
australia-2026,season_loo,23,0.04898623131211469,0.003354012243225292,0.6086956521739131,0.7391304347826086,0.095945046092093,0.11431750172674911,-0.06795333208578293,0.3893746948690772,0.8735632183908046
australia-2026,zero,23,0.05888421875697923,0.0486581143241114,0.34782608695652173,0.391304347826087,0.095945046092093,0.11431750172674911,,0.46139840848364494,0.8298850574712644
australia-2026,oracle_race,23,0.044712030413066914,0.0154070585960647,0.7391304347826086,0.782608695652174,0.095945046092093,0.11431750172674911,0.3528369093338456,0.37909985170384364,0.8873563218390804
japan-2026,sealed,19,0.020266124498065596,-0.017472874764434574,1.0,1.0,0.15350617071241332,0.18381269534334474,0.42339019740572564,0.2720039195210143,0.9705882352941176
japan-2026,sealed_v3,19,0.020266124498065596,-0.017472874764434574,1.0,1.0,0.15350617071241332,0.18381269534334474,0.42339019740572564,0.2720039195210143,0.9705882352941176
japan-2026,practice_only,19,0.017694744317781334,-0.0023018961223855695,1.0,1.0,0.15022880822670145,0.17971074809980508,0.334853284340833,0.25833301410901877,0.9735294117647059
japan-2026,practice_no_regime,19,0.024874341444649378,-0.02383582244919233,1.0,1.0,0.1684999737386426,0.20141331819051028,0.42339019740572564,0.28353419092983245,0.9794117647058823
japan-2026,sealed_geomean,19,0.019694388152181795,-0.015892204805090168,1.0,1.0,0.15195519090266663,0.18193794145017192,0.4244191076605392,0.26966611825299114,0.9705882352941176
